id,has_location,geocoded,longitude,latitude
1,False,False,,
4,False,False,,
5,False,False,,
6,False,False,,
7,False,False,,
8,False,False,,
10,False,False,,
13,False,False,,
14,False,False,,
15,False,False,,
16,False,False,,
17,False,False,,
18,False,False,,
19,False,False,,
20,False,False,,
23,False,False,,
24,False,False,,
25,False,False,,
26,False,False,,
28,False,False,,
31,False,False,,
32,False,False,,
33,False,False,,
34,False,False,,
36,False,False,,
37,False,False,,
38,False,False,,
39,False,False,,
40,False,False,,
41,False,False,,
44,False,False,,
48,True,True,-1.9026911,52.4796992
49,True,False,,
50,True,True,17.7578122,11.5024338
52,True,True,-75.1635262,39.9527237
53,True,True,-0.1276474,51.5073219
54,True,True,28.1879444,-25.7459374
55,True,True,114.15786063390414,22.2823025
56,False,False,,
57,True,True,120.9915488,14.5007016
59,True,False,,
61,False,False,,
62,True,True,4.881073026725959,52.364777700000005
63,False,False,,
64,False,False,,
65,False,False,,
66,True,True,-79.7919754,36.0726355
67,False,False,,
68,True,False,,
71,True,True,-0.5402402866174321,52.7954791
73,True,True,-82.15437852366313,41.4283035
74,True,True,78.6677428,22.3511148
76,True,True,-59.5250305,13.1500331
77,True,True,-117.911732,33.8347516
78,True,True,7.4892974,9.0643305
79,True,True,-100.4458825,39.7837304
80,True,True,24.991639,-28.8166236
81,True,True,-46.6333824,-23.5506507
82,True,True,-117.91746335781332,33.8075313
83,True,False,,
85,False,False,,
86,True,False,,
89,True,False,,
91,True,True,-62.7905136,45.452798
92,True,True,-114.0625892,51.0534234
93,True,True,-1.9026911,52.4796992
95,True,True,-122.4199061,37.7790262
96,True,False,,
97,True,True,-86.7743531,36.1622296
98,True,True,-121.6846349,37.2333253
100,True,True,-3.2765753,54.7023545
102,True,True,-90.1994097,38.6268039
104,True,True,-87.2767248,33.7804491
105,True,True,134.755,-24.7761086
107,True,True,-79.0392919,35.6729639
109,False,False,,
110,True,True,6.7318978,51.1602324
112,True,True,-122.3330573,37.496904
113,True,True,-79.0392919,35.6729639
114,True,True,37.840045,-3.3740499
117,False,False,,
118,True,False,,
119,False,False,,
120,True,True,-97.10562379033699,32.701938999999996
121,True,True,-82.9868489,39.7183962
126,False,False,,
128,True,True,-77.8818627,34.2751052
129,True,True,73.3287853,4.7064352
130,True,True,-71.4547891,42.9956397
131,True,True,-77.9447107,34.2257282
132,False,False,,
133,True,True,-77.8818627,34.2751052
134,False,False,,
135,True,True,-79.34914879325001,43.7283874
136,True,True,-117.119067,52.144046
137,True,True,-80.843083,35.2272
138,True,True,-91.18738,30.4459596
139,True,True,-77.7202641,39.6419219
141,True,True,-2.1880661838719386,51.7643786
143,False,False,,
144,True,True,-3.2765753,54.7023545
145,True,True,36.8172449,-1.2832533
146,True,False,,
149,True,True,21.3558051,60.5458493
151,True,True,8.2319736,46.7985624
153,True,True,21.3558051,60.5458493
156,True,True,-100.4458825,39.7837304
157,True,True,21.3558051,60.5458493
158,True,False,,
159,True,True,21.3558051,60.5458493
160,False,False,,
161,True,False,,
162,False,False,,
163,True,True,4.6667145,50.6402809
164,True,True,8.2319736,46.7985624
165,True,True,-100.4458825,39.7837304
168,False,False,,
170,True,False,,
171,True,True,8.2319736,46.7985624
172,True,True,8.2319736,46.7985624
173,True,True,-78.862953,43.91768
174,True,True,-117.8343848,44.7748748
175,False,False,,
176,False,False,,
178,True,True,-100.4458825,39.7837304
180,True,True,21.3558051,60.5458493
182,True,True,21.3558051,60.5458493
183,True,True,-76.440109,44.1935658
184,True,True,21.3558051,60.5458493
185,True,True,-118.39591,33.86428
187,False,False,,
190,False,False,,
191,False,False,,
193,True,True,21.3558051,60.5458493
194,True,True,21.3558051,60.5458493
195,False,False,,
196,True,True,-99.047388,19.6002034
197,True,True,-77.7278831,40.9699889
198,True,True,-111.8867975,40.7596198
199,True,True,-122.1598465,37.4443293
201,False,False,,
203,True,False,,
204,True,True,75.820349,26.916194
205,True,True,78.46106473453146,17.38878595
208,True,True,-100.4938137,28.7099337
209,True,True,77.5912997,12.9791198
210,True,False,,
211,False,False,,
212,True,True,117.8902853,-2.4833826
213,True,False,,
215,True,True,-105.993007,34.5708167
216,True,False,,
218,False,False,,
219,True,True,72.8353355,18.9387711
220,True,True,80.7137847,7.5554942
221,True,False,,
222,False,False,,
225,True,True,-75.564283,40.5887558
226,True,True,-107.9917071,61.0666922
229,False,False,,
